fpl_code,fbref_code,fotmob_id,fanteam_id,ref_name,fotmob_name,current_team,current_team_id,parent_team,parent_team_id,height_cm,preferred_foot,age,country,market_value_€m,primary_position,listed_positions,is_injured,expected_return,sample_mins,fin_skill,npxg,sot,xa,bcc,tack_w,tack_att,acc_pass,yc,s_rc,og,s_dribb,s_cross,offside,int,block,recov,clear,goal_oa,foul_w,foul_l,eltg,p60_gstart,p90_gstart,on_pens,g,sv_p_xgot,europe_mins_ratio,fac_mins_ratio,lc_mins_ratio
510663,5b92d896,1197030,4322253.0,Hugo Ekitiké,Hugo Ekitike,Liverpool,8650,Liverpool,8650,190.0,right,23,France,79.22398,ST,LW/ST,True,,7413.0,0.98615,0.37872,0.91134,0.08511,0.24646,0.23295,0.39847,12.15436,0.05024,0.00127,0.0004,1.14733,0.11827,0.38154,0.2024,0.07098,2.06625,0.85547,0.0061,0.7244,1.29971,0.00059,0.90405,0.23974,0.01,0.37458,0.0,0.95,0.584,0.52
447203,4d77b365,950561,1677500.0,Darwin Núñez Ribeiro,Darwin Nunez,Al Hilal,2529,Al Hilal,2529,187.0,right,26,Uruguay,34.26203,ST,ST/LW,False,,12187.0,0.93996,0.39724,1.09968,0.08057,0.26744,0.43008,0.6808,10.3587,0.1211,0.00117,0.00039,0.73386,0.13111,0.67428,0.16417,0.0746,2.12046,0.58171,0.0079,0.84217,1.11914,0.00058,0.916,0.38596,0.0,0.37339,0.0,0.95,0.9,0.9
560262,b2fe86e5,1460534,4293383.0,Junior Kroupi,Eli Junior Kroupi,AFC Bournemouth,8678,AFC Bournemouth,8678,179.0,right,19,France,19.63362,ST,LM/AM/LW/ST,False,,1490.0,1.04065,0.35685,1.07895,0.06588,0.17397,0.18757,0.32389,11.05362,0.09396,0.00328,0.00058,0.70819,0.1283,0.53424,0.26217,0.05017,2.70958,0.794,0.00636,0.95098,1.07746,0.00097,0.92327,0.142,0.0,0.37136,0.0,0.7,0.584,0.52
247412,f553b2b3,821100,3893792.0,Jørgen Strand Larsen,Jørgen Strand Larsen,Wolverhampton Wanderers,8602,Wolverhampton Wanderers,8602,193.0,right,25,Norway,48.09278,ST,ST,False,,13263.0,1.02999,0.27269,0.79236,0.04983,0.11422,0.17873,0.32478,9.79963,0.07814,0.00078,0.0004,0.45389,0.05668,0.42432,0.18316,0.11375,1.59452,0.98717,0.0051,0.93613,1.53091,0.00051,0.93793,0.39053,0.8,0.36935,0.0,0.7,0.584,0.52
102057,b561db50,292313,88528.0,Raúl Jiménez Rodríguez,Raul Jiménez,Fulham,9879,Fulham,9879,188.0,right,34,Mexico,4.58172,ST,ST/LW,False,,9479.0,0.99356,0.28914,0.87004,0.07413,0.16014,0.45794,0.72172,13.6719,0.0726,0.0008,0.00277,0.64108,0.12197,0.49681,0.25926,0.10454,2.3812,0.72126,0.00507,1.19302,1.29152,0.00044,0.88967,0.46156,0.7,0.3647,0.0,0.7,0.72267,0.85778
219847,fed7cb61,749736,182529.0,Kai Havertz,Kai Havertz,Arsenal,9825,Arsenal,9825,193.0,left,26,Germany,62.15116,ST,CM/ST,True,,14620.0,0.92349,0.39249,0.89621,0.10554,0.27492,0.42104,0.90871,22.46416,0.13232,0.00063,0.0001,0.63314,0.10374,0.5904,0.29559,0.07336,2.78886,0.92262,0.00672,1.23109,1.64503,0.00223,0.93807,0.57811,0.0,0.36246,0.0,0.95,0.71613,0.85622
244731,4a1a9578,860914,283021.0,Luis Díaz Marulanda,Luis Diaz,Bayern München,9823,Bayern München,9823,180.0,right,28,Colombia,77.41102,LW,LW/ST,False,,13858.0,1.07984,0.33254,0.86273,0.13075,0.32347,0.69071,1.05334,24.24159,0.06145,0.00061,0.00014,1.95972,0.3058,0.33427,0.31131,0.04009,3.98903,0.25638,0.00648,1.35881,1.40619,0.00105,0.95119,0.36428,0.0,0.35908,0.0,0.95,0.76467,0.86778
223340,bc7dc64d,961995,106430.0,Bukayo Saka,Bukayo Saka,Arsenal,9825,Arsenal,9825,178.0,left,24,England,97.5432,RW,RM/RW,False,,17159.0,1.0407,0.26882,0.94243,0.18639,0.58524,0.64646,1.18702,25.62418,0.07575,0.00041,0.00297,1.5898,1.16443,0.37164,0.46172,0.03219,3.88974,0.43841,0.00483,1.89134,1.03257,0.00531,0.93532,0.50776,0.7,0.35718,0.0,0.95,0.70307,0.85311
444102,6f3cc2fe,1098096,3925510.0,Francisco Evanilson de Lima Barbosa,Evanilson,AFC Bournemouth,8678,AFC Bournemouth,8678,183.0,both,26,Brazil,29.53339,ST,AM/ST,False,,10812.0,0.94787,0.35841,0.87682,0.05605,0.17774,0.31435,0.4618,10.3319,0.05288,0.00113,0.00281,0.40643,0.03781,0.69912,0.09723,0.07155,2.47663,0.69046,0.00683,1.65796,1.17667,0.0004,0.95966,0.27487,0.05,0.34526,0.0,0.95,0.584,0.52
243298,1971591f,806552,2818755.0,Cody Gakpo,Cody Gakpo,Liverpool,8650,Liverpool,8650,193.0,right,26,Netherlands,73.8212,LW,LM/LW,False,,14506.0,1.13998,0.3024,0.81713,0.14566,0.44243,0.47976,0.7806,17.88835,0.04889,0.00038,8e-05,1.30014,0.52276,0.34574,0.44714,0.08224,3.17664,0.44396,0.0058,1.48181,1.01537,0.00059,0.90929,0.42052,0.0,0.34473,0.0,0.95,0.9,0.9
470313,7ca196eb,1106563,4386446.0,Nick Woltemade,Nick Woltemade,Newcastle United,10261,Newcastle United,10261,198.0,right,23,Germany,73.83976,ST,AM/LW/RW/ST,False,,3735.0,1.01643,0.33777,0.80401,0.08616,0.20839,0.2303,0.36372,12.20524,0.06625,0.00139,0.00059,0.78648,0.06523,0.34756,0.18091,0.07055,2.32673,0.7847,0.0057,1.43931,1.17155,0.00708,0.92251,0.35137,0.0,0.34332,0.0,0.7,0.584,0.52
486385,ed5c0319,1079485,3650885.0,Norberto Bercique Gomes Betuncal,Beto,Everton,8668,Everton,8668,194.0,right,27,Guinea-Bissau,20.74931,ST,ST,False,,10254.0,0.94449,0.35578,0.78512,0.0396,0.08984,0.2359,0.52201,6.99444,0.05508,0.00095,0.00025,0.71678,0.04389,0.56898,0.16297,0.09679,1.71488,1.05798,0.007,1.02561,1.34111,0.00956,0.96986,0.40894,0.05,0.34156,0.0,0.7,0.72453,0.85822
646243,2d14071d,1636592,,Andre Harriman-Annous,Andre Harriman-Annous,Arsenal U18,1113566,Arsenal,9825,181.0,right,17,England,0.02,ST,LW/ST,False,,0.0,1.0,0.33981,1.09277,0.09285,0.38349,0.34073,0.60554,17.81027,0.10404,0.00354,0.00042,0.92899,0.2018,0.69791,0.17695,0.06841,2.31845,0.5333,0.00422,1.39473,1.26349,0.00072,0.9095,0.3692,0.0,0.33981,0.0,0.7,0.584,0.52
209244,ed1e53f3,815006,55898.0,Phil Foden,Phil Foden,Manchester City,8456,Manchester City,8456,171.0,left,25,England,73.84555,AM,RM/RW/AM/LW/ST,False,,15894.0,1.1944,0.27989,0.90472,0.18453,0.50838,0.34478,0.61735,38.24584,0.03793,0.00035,0.0001,1.19773,1.12935,0.17957,0.33174,0.04008,3.38819,0.39025,0.00516,1.28898,0.50471,0.00592,0.93212,0.54899,0.0,0.33431,0.0,0.95,0.9,0.9
85971,92e7e919,212867,23472.0,Son Heung-min,Heung-Min Son,Los Angeles FC,867280,Los Angeles FC,867280,184.0,both,33,South Korea,18.81205,LW,LM/LW/ST,False,,16546.0,1.19512,0.2756,0.97189,0.14411,0.40744,0.40282,0.73173,23.39569,0.04308,0.00056,0.0048,1.21904,0.70391,0.4347,0.31904,0.06112,3.35837,0.31194,0.00528,1.15897,0.43763,0.00091,0.94001,0.5166,0.0,0.32938,0.0,0.95,0.83933,0.88556
141746,507c7bdf,422685,160701.0,Bruno Borges Fernandes,Bruno Fernandes,Manchester United,10260,Manchester United,10260,179.0,right,31,Portugal,35.6639,AM,DM/CM/AM/RW,False,,23458.0,0.97837,0.2319,0.95897,0.25962,0.61917,0.96069,1.6906,43.19429,0.11086,0.00037,9e-05,0.75792,1.15694,0.13527,0.65059,0.11503,5.67195,1.10305,0.00432,1.27378,0.98846,0.00773,0.98059,0.79607,0.9,0.32643,0.0,0.95,0.9,0.9
212319,fa031b34,654908,45474.0,Richarlison de Andrade,Richarlison,Tottenham Hotspur,8586,Tottenham Hotspur,8586,184.0,right,28,Brazil,19.28484,ST,LW/ST,False,,10262.0,0.99938,0.3094,0.87471,0.06818,0.18091,0.49991,0.786,12.09557,0.07877,0.00073,0.00038,0.78393,0.09806,0.49725,0.26376,0.12226,2.77229,1.04581,0.00524,1.50914,1.00226,0.00055,0.91073,0.49267,0.15,0.3258,0.0,0.86222,0.70213,0.85289
213198,7c56da38,704523,3584407.0,Christopher Nkunku,Christopher Nkunku,Milan,8564,Milan,8564,178.0,right,28,France,36.14952,LW,RW/AM/LW/ST,False,,11423.0,1.08465,0.30019,0.92217,0.14405,0.4392,0.58259,0.94062,23.77889,0.07177,0.0009,0.00018,1.2075,0.48099,0.33266,0.45468,0.07115,3.04196,0.44083,0.00589,1.4215,1.00616,0.00138,0.9516,0.54805,0.0,0.32561,0.0,0.95,0.6508,0.84067
485711,3260690c,1073977,4348880.0,Benjamin Sesko,Benjamin Sesko,Manchester United,10260,Manchester United,10260,195.0,right,22,Slovenia,76.13227,ST,RW/ST,True,,6135.0,1.08382,0.29494,0.95414,0.05678,0.12365,0.15715,0.30679,10.36824,0.04965,0.0014,0.0005,0.65911,0.0692,0.40308,0.20132,0.07036,1.85395,0.76652,0.00481,0.66391,0.93795,0.00083,0.94152,0.36121,0.0,0.31966,0.0,0.95,0.584,0.52
499309,d3d774cc,1412137,3879488.0,Marc Guiu Paz,Marc Guiu,Chelsea,8455,Chelsea,8455,187.0,left,19,Spain,14.54848,ST,ST,False,,873.0,1.04031,0.30584,1.01657,0.05441,0.22039,0.22149,0.34447,10.10415,0.09456,0.003,0.00053,0.62519,0.08901,0.39549,0.12783,0.04079,1.59454,0.34713,0.00475,1.00292,1.21249,0.00112,0.91704,0.35511,0.0,0.31817,0.0,0.62722,0.584,0.52
75115,c596fcb0,184321,4338690.0,Callum Wilson,Callum Wilson,West Ham United,8654,West Ham United,8654,180.0,both,33,England,5.54937,ST,ST,False,,7949.0,1.01285,0.3114,0.83834,0.04412,0.11588,0.19446,0.33595,7.24279,0.08357,0.00145,0.00051,0.70534,0.0616,0.57615,0.19079,0.08834,1.72819,0.45935,0.00629,1.17325,1.07556,0.00074,0.87174,0.39584,0.0,0.3154,0.0,0.58167,0.648,0.84
201666,3ea50f67,760359,45039.0,Harvey Barnes,Harvey Barnes,Newcastle United,10261,Newcastle United,10261,174.0,right,27,England,39.84638,LW,AM/LW/RW,False,,12109.0,1.11732,0.28075,0.79944,0.11509,0.32722,0.31025,0.60069,17.13031,0.02925,0.00046,0.00012,1.00172,0.43403,0.21834,0.26267,0.05016,2.75195,0.40697,0.00527,1.06292,0.66342,0.0095,0.92825,0.46284,0.0,0.31369,0.0,0.95,0.79733,0.87556
475168,e8832875,1021382,164449.0,João Pedro Junqueira de Jesus,Joao Pedro,Chelsea,8455,Chelsea,8455,188.0,right,24,Brazil,74.74924,ST,AM/LW/ST,False,,13237.0,1.0366,0.29948,0.88225,0.10601,0.24271,0.40676,0.66562,19.10396,0.07102,0.00107,0.00022,1.28225,0.1776,0.39525,0.37692,0.11431,2.99241,0.66051,0.00545,1.82218,1.06668,0.00045,0.97133,0.51396,0.02,0.31265,0.0,0.95,0.74827,0.55911
205533,a53649b7,860920,76982.0,Eddie Nketiah,Edward Nketiah,Crystal Palace,9826,Crystal Palace,9826,175.0,right,26,England,21.38355,ST,ST,False,,6500.0,0.94138,0.33189,0.86326,0.05933,0.15943,0.32083,0.54578,9.99103,0.08725,0.00118,0.00046,0.65146,0.05338,0.44711,0.2468,0.06979,1.86774,0.59417,0.00624,1.4232,1.26967,0.00068,0.974,0.41481,0.0,0.31243,0.0,0.95,0.85053,0.88822
232185,bfdb33aa,771294,3912183.0,Ismaïla Sarr,Ismaila Sarr,Crystal Palace,9826,Crystal Palace,9826,185.0,right,27,Senegal,38.39365,AM,RM/RW/AM/LW/ST,False,,14513.0,0.96587,0.30014,0.69566,0.10589,0.30334,0.30537,0.59171,13.93671,0.06213,0.00063,0.00019,0.67674,0.27494,0.35989,0.43963,0.18427,3.46626,1.14706,0.00604,1.73585,0.6588,0.00118,0.98073,0.63584,0.2,0.31201,0.0,0.83394,0.8496,0.888
244042,a755db8c,1128945,3556539.0,Rodrigo Muniz Carvalho,Rodrigo Muniz,Fulham,9879,Fulham,9879,186.0,right,24,Brazil,5.99569,ST,ST,True,,5123.0,1.04361,0.2859,0.85771,0.04404,0.09267,0.20785,0.37239,6.25269,0.04045,0.00113,0.01281,0.47838,0.0603,0.27272,0.21647,0.09785,1.50541,0.90123,0.00538,1.44067,1.19637,0.00061,0.90009,0.28506,0.1,0.30943,0.0,0.7,0.9,0.9
497894,491a433d,1199272,3634387.0,Rasmus Højlund,Rasmus Højlund,Napoli,9875,Napoli,9875,191.0,left,22,Denmark,47.22776,ST,ST,False,,8364.0,1.02404,0.29798,0.7322,0.05879,0.15708,0.17128,0.28925,10.91652,0.05667,0.00118,0.00043,0.57381,0.09689,0.50221,0.10151,0.04773,1.85736,0.42259,0.0053,1.10773,0.84984,0.00065,0.92128,0.3431,0.0,0.30515,0.0,0.95,0.9,0.9
174594,0cc5f4a5,861197,4293418.0,Lukas Nmecha,Lukas Nmecha,Leeds United,8463,Leeds United,8463,185.0,right,26,Germany,5.95893,ST,ST,False,,3751.0,0.99581,0.29208,0.76971,0.0602,0.19254,0.18706,0.35864,9.27479,0.08731,0.00151,0.00084,0.59246,0.10791,0.38577,0.21092,0.08799,1.69002,0.66962,0.00524,1.15169,1.0036,0.00107,0.90062,0.308,0.1,0.30192,0.0,0.62889,0.584,0.52
599303,ff392864,1443841,,Sean Neave,Sean Neave,Newcastle United U21,860798,Newcastle United,10261,184.0,right,18,England,0.12,ST,CM/AM/ST/LW,False,,0.0,1.0,0.30177,0.96939,0.08159,0.33696,0.36325,0.6106,15.62931,0.10959,0.00321,0.00102,0.80861,0.18834,0.57559,0.21627,0.09087,2.59566,0.64238,0.00375,1.53607,1.2851,0.00141,0.9095,0.3692,0.0,0.30177,0.0,0.7,0.584,0.52
204646,116c35df,660301,4054663.0,Donyell Malen,Donyell Malen,Aston Villa,10252,Aston Villa,10252,179.0,right,26,Netherlands,18.91063,RW,RW/ST,False,,11185.0,1.04757,0.2872,0.86468,0.09743,0.28194,0.27772,0.4602,14.38596,0.05548,0.00106,0.00027,1.26456,0.34997,0.23979,0.23232,0.03876,2.34221,0.28556,0.00587,1.14259,0.50499,0.00159,0.91732,0.25411,0.0,0.30086,0.0,0.95,0.50373,0.50089
199670,0562b7f1,637746,257274.0,Odsonne Édouard,Odsonne Edouard,Lens,8588,Lens,8588,187.0,right,27,France,8.42744,ST,AM/ST,False,,5665.0,1.03286,0.28646,0.82961,0.0699,0.18005,0.45024,0.8303,12.63847,0.10179,0.00182,0.00054,0.8794,0.09077,0.48784,0.16473,0.10588,2.24773,0.78734,0.00439,0.92364,1.22575,0.00082,0.96021,0.25605,0.0,0.29587,0.0,0.60444,0.61253,0.83156
247693,c0b3669f,823825,4386959.0,Randal Kolo Muani,Randal Kolo Muani,Tottenham Hotspur,8586,Paris Saint-Germain,9847,187.0,right,26,France,36.36426,ST,RW/AM/LW/ST,False,,13283.0,1.0032,0.29352,0.71088,0.06113,0.22616,0.34058,0.54969,10.1525,0.05748,0.00104,0.00051,1.09439,0.09291,0.47953,0.21559,0.05621,2.54134,0.52991,0.00537,1.54772,1.45306,0.00074,0.93743,0.42,0.0,0.29445,0.0,0.95,0.584,0.52
576980,6baa90d0,1413864,,Zach Marsh,Zach Marsh,Crystal Palace U21,1267874,Crystal Palace,9826,176.0,right,20,England,,ST,RM/AM/RW/ST/LW,False,,0.0,1.0,0.2917,1.05311,0.07705,0.31822,0.43963,0.77464,12.01203,0.13179,0.00332,0.00104,0.59056,0.15807,0.66913,0.26869,0.08934,2.66496,0.83994,0.00363,1.39739,1.29711,0.00154,0.9095,0.3692,0.0,0.2917,0.0,0.7,0.584,0.52
431639,b3f36e72,873559,4293411.0,Zian Flemming,Zian Flemming,Burnley,8191,Burnley,8191,185.0,right,27,Netherlands,10.87228,ST,ST,False,,15812.0,1.13306,0.19627,0.70507,0.04649,0.13621,0.45096,0.66532,9.60833,0.07251,0.00084,0.00041,0.44786,0.08478,0.24184,0.32474,0.11808,2.48046,1.20742,0.00471,1.45164,1.47996,0.00054,0.99521,0.54712,0.6,0.28875,0.0,0.7,0.584,0.52
176297,a1d5bd30,696365,23194.0,Marcus Rashford,Marcus Rashford,Barcelona,8634,Manchester United,10260,185.0,right,28,England,52.24,LW,RW/LW/AM/ST,False,,15161.0,1.0929,0.26284,0.95961,0.11618,0.32275,0.45354,0.74425,20.79874,0.06594,0.00066,0.00013,1.48868,0.40849,0.47219,0.25729,0.04476,2.8703,0.4049,0.00501,0.87875,0.5952,0.00112,0.9251,0.4071,0.0,0.28726,0.0,0.95,0.9,0.9
487117,4596da74,1068482,426576.0,Evan Ferguson,Evan Ferguson,Roma,8686,Brighton & Hove Albion,10204,188.0,right,21,Ireland,19.79327,ST,RW/ST,False,,3685.0,1.01385,0.28266,0.91027,0.05942,0.1951,0.28896,0.5507,12.28229,0.08632,0.00188,0.00066,0.73,0.13819,0.3164,0.15664,0.07978,1.70016,0.49099,0.00415,1.09174,1.10077,0.00095,0.89189,0.18251,0.0,0.28658,0.0,0.64793,0.89533,0.89889
178186,79c84d1c,523825,161049.0,Jarrod Bowen,Jarrod Bowen,West Ham United,8654,West Ham United,8654,174.0,left,28,England,47.74145,RW,RW/AM/ST,False,,18488.0,1.08779,0.25239,0.8804,0.1174,0.34568,0.51774,0.89854,15.04439,0.04369,0.00038,0.00014,1.23221,0.68258,0.34508,0.60542,0.10997,3.80571,0.51089,0.0048,1.51446,0.62928,0.00056,0.97627,0.72624,0.1,0.28561,0.0,0.95,0.73573,0.86089
232413,ae4fc6a4,818975,180321.0,Eberechi Eze,Eberechi Eze,Arsenal,9825,Arsenal,9825,178.0,right,27,England,73.71451,AM,CM/AM/LW/ST,False,,12227.0,1.11061,0.25642,0.90701,0.1634,0.37677,0.4431,0.83467,29.80513,0.04749,0.00085,9e-05,1.79009,0.69231,0.21371,0.43477,0.05726,4.38707,0.3084,0.00428,1.65106,0.68287,0.00272,0.94539,0.432,0.0,0.28478,0.0,0.7,0.9,0.9
235826,1f0072a6,792540,4293436.0,Joël Piroe,Joel Piroe,Leeds United,8463,Leeds United,8463,181.0,left,26,Netherlands,18.45256,ST,AM/ST,False,,14304.0,1.10845,0.24403,0.71559,0.05717,0.14467,0.37032,0.59518,11.66394,0.05548,0.00055,0.00036,0.41476,0.03663,0.363,0.22792,0.04119,2.45536,0.63164,0.00629,0.46767,0.68353,0.00046,0.9734,0.50658,0.1,0.28155,0.0,0.7,0.69507,0.54644
222683,4c3a6744,794253,3584408.0,Justin Kluivert,Justin Kluivert,AFC Bournemouth,8678,AFC Bournemouth,8678,175.0,right,26,Netherlands,43.27158,AM,CM/AM/LW,True,,9469.0,1.03639,0.17982,0.65356,0.0954,0.27946,0.39289,0.74069,14.75574,0.13356,0.00106,0.00016,1.0647,0.61206,0.18235,0.3813,0.04559,2.94232,0.54001,0.00318,1.03212,1.41842,0.00107,0.92218,0.15378,0.85,0.28037,0.0,0.88272,0.77027,0.86911
